CapacityRatio,ShareFlex,ShareStorage,ShareWind,SharePV,rNTC
0.7537813142,0.271553103,0.8758476541,0.3556167445,0.1606788976,0.1836524742
0.5787417981,0.4931520355,2.755397321,0.4947395366,0.1139935845,0.1187487112
1.267669175,0.7539801339,2.758605105,0.4568908846,0.2817794573,0.1304524974
1.168673801,0.5131353942,0.6724577253,0.1314254597,0.05659778515,0.1099614105
0.7805865556,0.5583107225,2.895860441,0.3914048143,0.1833627335,0.2880712144
0.5686552209,0.622806303,2.208518742,0.1716779096,0.2125728022,0.08208954988
1.09877949,0.3083770474,1.418884648,0.1189128232,0.2564893202,0.006151193028
1.276510057,0.2718580712,2.517623576,0.01251291445,0.1853002517,0.7258434861
0.7404930348,0.8134136215,1.305634244,0.400257245,0.2449993649,0.1012538068
1.051326606,0.6732077892,2.43002513,0.3971622402,0.165809113,0.5385707351
0.8974234916,0.6619376615,0.028619197,0.5318373593,0.3399305091,0.2414096832
1.216993283,0.4364155262,2.156770525,0.2299807486,0.131135476,0.006675552061
1.02223473,0.6429274862,1.10201212,0.3682184988,0.3354783276,0.003835137578
1.256068635,0.4888469861,1.205110219,0.3105415965,0.2293959924,0.2606130048
1.048388101,0.3479248274,1.95394924,0.1840053177,0.2070023471,0.3994812257
1.20626672,0.2570905204,1.326046358,0.3445097607,0.1343914517,0.7489408701
0.6701761922,0.5703739038,2.61677098,0.4913978996,0.3048832327,0.0757800061
0.8147596445,0.3717368883,1.227216233,0.3978768996,0.2443742676,0.01559917938
1.245925694,0.3629476363,0.06863783864,0.05711004888,0.0103350924,0.6724752513
1.07073814,0.2556322039,0.8299808548,0.05912699977,0.2368102212,0.1762158083
1.179061096,0.8067542184,2.482537386,0.2783191158,0.0463496596,0.2600962016
1.179596642,0.703462685,0.302920755,0.5118412026,0.2735178937,0.2766108175
0.8144332878,0.8999291734,2.85805594,0.1355568162,0.239225173,0.2866557434
1.028003114,0.5088992202,2.658034632,0.3574753408,0.3427765842,0.460856728
1.100658526,0.4403011526,0.8538319829,0.1947152617,0.03709469793,0.1180020467
0.5749257369,0.4275178447,1.485310748,0.4789601074,0.0853868558,0.3541861269
1.108685989,0.4693477074,1.235014376,0.5359015811,0.161022975,0.4357607808
0.9980284407,0.4312216888,2.702297419,0.1287938195,0.07544546646,0.1681461463
0.5364850775,0.4508928853,1.774126153,0.4154931378,0.1905839817,0.3837976042
0.6250178151,0.4777869355,0.9261880273,0.08534694053,0.200933919,0.07601085329
0.7361445735,0.4591067534,2.193974835,0.2386522791,0.223292102,0.1094837912
1.056202435,0.3392072378,0.300663034,0.1864539397,0.1116066213,0.08874929652
0.5588838819,0.6642733031,1.177169683,0.2610544411,0.08421522794,0.09219769833
0.9565344184,0.4701683094,1.96213401,0.3238471609,0.2289948855,0.4885085707
1.021024408,0.683289474,2.603815848,0.4093704527,0.1589707933,0.4268992712
1.040142562,0.5026332009,0.7626147907,0.001137854427,0.1599798363,0.6681371217
0.7200099739,0.378148073,2.710885761,0.4708055798,0.1351379361,0.5187984223
1.293872918,0.7775928165,0.9731184885,0.3044475757,0.2226857927,0.5668105084
0.949864817,0.4337421989,2.864678238,0.2415650078,0.02861660795,0.4554945008
0.9512700483,0.8136126765,1.363375842,0.1447836903,0.01517959557,0.09198303336
0.459487018,0.7991517526,0.8024633228,0.2896949006,0.2461378678,0.2780555363
0.7968735746,0.3382851404,1.801178238,0.5282875115,0.03965647309,0.3931594232
1.190913792,0.5227839566,0.6187380654,0.3239772766,0.343314946,0.2549118568
0.7048313603,0.5897775045,2.892045945,0.2823278907,0.07400841332,0.2626401673
0.7788228329,0.4935662106,0.6218670405,0.2146810114,0.3159370313,0.4643610001
1.13701567,0.2688801444,0.2416228922,0.3381612811,0.3379448039,0.556636891
0.9020851576,0.7943310432,0.8502360798,0.3651907342,0.2708210102,0.04127946904
0.9233509415,0.7802815813,1.491275163,0.2981231817,0.1078052494,0.2062471777
0.8879948537,0.6131034063,1.38315249,0.4024339531,0.3073883978,0.7354161459
0.8087310712,0.6637829333,2.120052988,0.2295595835,0.1531996338,0.02579987451
0.7999539447,0.8413255999,1.353387598,0.04421059619,0.2245814426,0.5562642797
